Altium Designer Pick and Place Locations
F:\My HW Projects\Boba_projects\4_20mA_Converter\An_IF_Converter_V1.0\Project Outputs\2026-02-12 An_IF_Converter_V1.0\Fabrication\Pick Place\An_IF_Converter_V1.0_Pick Place.csv

========================================================================================================================
File Design Information:

Date:       12.02.26
Time:       22:13
Revision:   5027e48b9220d10057503bc75778ab8546121334
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Footprint"
"2DA1","19.3000","30.7750","180","DGN0008B"
"2R2","24.9750","32.5000","270","R0603N"
"2R1","21.7750","32.5000","90","R0603N"
"2C1","23.3750","32.5000","90","C0603N"
"1R2","5.5250","32.5000","270","R0603N"
"1R1","2.3250","32.5000","90","R0603N"
"1C1","3.9250","32.5000","90","C0603N"
"2DA2","22.5500","15.7500","270","DRB0008A"
"1DA2","3.1000","15.7500","270","DRB0008A"
"2DA3","25.2750","27.8250","180","RGH0016A"
"1DA1","-0.1500","30.7750","180","DGN0008B"
"VT2","-10.6500","34.7000","90","TSOT23-6"
"ZQ1","16.5500","62.9000","90","NX3225GA"
"X10","31.8750","59.5300","270","2.54_1X4_HEADER"
"X9","27.1750","69.5000","0","2.54_1X4_HEADER"
"X8","25.5000","76.4000","180","2EDGR-5.08-02P-14-00A(H)"
"X7","-25.5000","76.4000","180","2EDGR-5.08-02P-14-00A(H)"
"X6","-25.5000","10.5000","0","2EDGR-5.08-02P-14-00A(H)"
"X5","-8.5000","10.5000","0","2EDGR-5.08-02P-14-00A(H)"
"X4","8.5000","10.5000","0","2EDGR-5.08-02P-14-00A(H)"
"X3","8.5000","76.4000","180","2EDGR-5.08-02P-14-00A(H)"
"X2","-8.5000","76.4000","180","2EDGR-5.08-02P-14-00A(H)"
"X1","25.5000","10.5000","0","2EDGR-5.08-02P-14-00A(H)"
"VD8","-14.4750","35.3500","90","SMA"
"VD7","-10.1750","37.0500","0","SOD323"
"VD6","8.5000","63.5000","180","SOT23"
"VD5","-8.5000","63.5000","180","SOT23"
